Module,Feature,Screen ID,Screen Name,Suggested Route,Roles,Priority,Orientation,Entry Points,Primary CTA,Next / Exit,Required States,Key Components,UX Notes
Admin,Support,AD-027,Support ticket detail,/admin/support/:ticketId,"SupportAgent, Admin",MVP,Desktop,"Ticket inbox, order detail",Reply / resolve / escalate,Ticket inbox/order,Private note error,"Conversation, internal notes, linked order/product/user",Internal notes must be visually distinct from public replies.
Admin,Advertising,AD-028,Campaign approval queue,/admin/ads/approvals,Admin,Later,Desktop,Ad submission,Review campaign,Campaign detail,No pending campaigns,"Campaign table, seller/product eligibility",Ad approval protects buyer experience.
Admin,Advertising,AD-029,Campaign detail review,/admin/ads/:campaignId,Admin,Later,Desktop,Campaign approval queue,Approve / reject / pause,Queue/seller notification,"Budget invalid, product ineligible","Campaign summary, preview, product quality, seller risk",Ads must be clearly labelled and eligible.
Admin,Analytics,AD-030,Admin analytics dashboard,/admin/analytics,Admin,Later,Desktop,Admin nav,Open report,Revenue/seller/product reports,No data,"Marketplace KPIs, charts, filters",Avoid exposing analytics before tracking is reliable.
Admin,Finance,AD-031,Revenue reports,/admin/reports/revenue,Admin,Later,Desktop,Analytics/finance,Export report,CSV/download,Date range empty,"GMV, commission, refunds, fees, payouts",Finance exports need date filters and audit trail.
Admin,AI operations,AD-032,AI usage and cost dashboard,/admin/ai/usage,Admin,Later,Desktop,Admin nav,View logs,AI log detail,No usage,"AI calls, cost estimate, latency, failures",Needed once AI usage grows.
Admin,Audit,AD-033,Audit logs,/admin/audit-logs,Admin,MVP,Desktop,"Admin nav, object detail",Open log,Object detail,No logs,"Audit table, actor, action, timestamp",Every sensitive action must be logged.
Admin,Policy engine,AD-034,Policy/rules management,/admin/policies,Admin,Later,Desktop,Admin nav,Edit rule,Rule detail,Rule conflict,"Policy rules, conditions, actions",Later convert hard-coded rules into configurable rules.
Admin,Notifications,AD-035,Notification templates,/admin/settings/notifications,Admin,Later,Desktop,Settings nav,Save template,Settings,Template validation,Email/SMS/in-app template editor,Useful before large-scale operations.
Admin,Settings,AD-036,Roles and permissions settings,/admin/settings/permissions,SuperAdmin,Later,Desktop,Settings nav,Save role,Settings,Permission conflict,"Role matrix, permission toggles",Keep superadmin-only.
Admin,Operations,AD-037,System health and webhook monitor,/admin/ops/system-health,Admin,Later,Desktop,Admin nav,Retry failed webhook,Event detail,"Service down, retry failed","Health cards, failed jobs, webhook logs",Critical for payments and background jobs.
Common,Global states,C-001,Loading and skeleton state patterns,N/A,All,MVP,Desktop + Mobile,Any async screen,N/A,Loaded screen,Slow network,Skeleton cards/tables/forms,Use layout-preserving skeletons instead of spinners where possible.
Common,Global states,C-002,Empty state patterns,N/A,All,MVP,Desktop + Mobile,Any list/grid/dashboard,Primary helpful action,Create/search/browse,Empty result,"Illustration, explanation, CTA","Every empty state should answer: why empty, what next?"
Common,Global states,C-003,Error state patterns,N/A,All,MVP,Desktop + Mobile,Any failed request,Retry / contact support,Previous/next,"Network error, permission, validation","Alert, retry CTA, contextual copy",Avoid generic “Something went wrong” only.
Common,Global states,C-004,Permission denied,/403,All,MVP,Desktop + Mobile,Unauthorized action/protected route,Go back / switch account,Previous/home,Role mismatch,"Access card, support link",Explain role needed without exposing sensitive info.
Common,Global states,C-005,Offline/maintenance,/maintenance,All,Later,Desktop + Mobile,Service unavailable,Retry,Previous,"Offline, maintenance","Status card, retry, incident link",Useful once platform scales.
Common,Global states,C-006,Confirmation modal pattern,N/A,All,MVP,Desktop + Mobile,Destructive/sensitive action,Confirm / cancel,Action result,Processing/failure,"Modal, clear consequence text","Use for delete, payout release, refund, reject, suspend."
Common,Global states,C-007,Toast notification pattern,N/A,All,MVP,Desktop + Mobile,Save/action success/error,Undo/View,Related object,Undo expired,"Toast, action link",Toasts should include direct next action when useful.
